Id,quantity,price,income,demandshifts,input1,input2
40,5.38016569,0.30550595,5.77053716,1,1.3222694,2.13525047
41,5.18799401,1.91405494,5.73416782,0,1.06681676,1.94667565
42,5.36208437,0.47964386,5.86730219,0,0.93683063,2.34368951
43,5.19405621,0.99952,5.83595839,0,0.71819824,2.26716593
44,5.03761577,1.43584539,5.92640893,1,0.7323676,2.07424553
45,5.11035564,1.23427159,5.90832517,0,0.64875232,2.13575715
46,5.44116577,0.32591043,5.91388439,0,1.04792423,2.25840331
47,5.45610104,0.83068117,6.08945356,0,1.0362595,2.04311105
48,4.94380733,1.25467729,6.07873762,1,0.80567843,1.7103366
49,4.96152013,2.25004665,6.0756611,0,0.70465402,1.63670426
50,4.92587699,2.32961345,6.02206585,0,0.67095629,1.69877355
51,4.83837798,2.26681471,6.06132996,0,0.6455668,1.69072865
52,5.00571838,1.45754758,6.09496418,1,0.83862244,1.61601185
53,5.24024015,1.29948511,6.09031046,0,1.01686977,1.84841856
54,5.10837535,1.55309484,6.29177361,0,0.86198564,1.79430417
55,5.21670063,1.45753341,6.23556574,0,0.94296085,1.86170039
56,4.98161094,1.47309299,6.31535084,1,0.80356235,1.58407273
57,5.27132866,2.17954545,6.45431672,0,1.11953781,1.79712149
58,5.64161196,0.33412814,6.33473002,0,1.22840439,2.12550243
59,5.62107075,1.03304825,6.31504641,0,1.28138446,2.28553439
60,4.93607298,1.08981568,6.20047096,1,0.69814028,1.77733656
61,4.65629134,2.73515148,6.18185047,0,0.4730427,1.53735149
62,5.08627943,1.50734554,6.34716456,0,0.78060898,1.88852775
63,5.66580914,1.07253501,6.40218467,0,1.33250631,2.0706311
64,5.51951929,0.95796706,6.41099999,1,1.19810427,2.04085925
65,5.33593456,1.20706851,6.33054985,0,0.97489737,1.96627232
66,5.2871638,1.0952224,6.28014983,0,0.88343559,2.16953825
67,5.2997469,2.27296755,6.35077102,0,0.98286006,2.11566997
68,5.15906162,1.50868402,6.39135777,1,0.80572704,1.95683897
69,5.28057177,1.77564943,6.56994941,0,0.7996767,1.80433162
70,4.88750337,1.84018728,6.49944897,0,0.68223537,1.53553635
71,4.95522263,2.01966677,6.4687231,0,0.74594924,1.55409541
72,5.11123281,1.62887822,6.49052935,1,0.90589379,2.00753751
73,5.34083387,1.59092716,6.44209921,0,1.02400422,1.92201519
74,5.14418823,1.51508578,6.33153426,0,0.80861626,1.8630298
75,4.98220474,1.84140839,6.39408688,0,0.68928486,1.5752668
76,4.86933105,1.65091931,6.2663791,1,0.5763453,1.90613947
77,4.99624102,2.00387373,6.28491032,0,0.65830222,2.21340119
78,5.22114108,1.76628588,6.49839092,0,0.69976693,2.16259305
79,5.19304258,2.44300549,6.48760095,0,0.90355202,1.97673996
80,5.2996065,0.81157962,6.55513597,1,1.03719014,1.93670348
81,5.61167524,1.58312534,6.7088508,0,1.19934631,2.11356305
82,5.21081238,2.31834305,6.8524361,0,0.70881137,1.93925879
83,4.72851354,2.87651087,6.76971999,0,0.37125449,1.60364468
84,4.39880747,3.34569861,6.82071055,1,0.18927986,1.49023975
85,5.41599118,2.00458486,6.85313655,0,0.75665908,2.23626799
86,5.42608927,1.46796217,6.73331166,0,0.9196879,2.08385804
87,5.08378925,1.85525608,6.74993076,0,0.76671929,1.82801191
88,5.06886316,1.81081385,6.66244496,1,0.83992917,1.79729789
89,5.29273567,2.24009449,6.82897076,0,0.94628609,1.68687877
90,5.68547417,1.2337331,6.84444097,0,1.08950967,2.17002406
91,5.55389666,1.77247365,6.926512,0,0.93864434,2.03239309
92,5.60873998,1.57318078,6.92837047,1,1.09129669,2.38633768
93,5.66716277,1.48687886,6.96739148,0,1.1325417,2.13720647
94,6.00346857,0.36660552,6.89752598,0,1.44767663,2.55586084
95,5.66276144,1.74740142,6.92512295,0,1.16878113,2.14784612
96,5.34326826,0.83429652,6.93725156,1,0.93653579,1.8642178
97,4.98202657,2.48986004,6.9514643,0,0.62086895,1.5856592
98,5.13844925,2.37850881,7.01918977,0,0.77079206,1.58335371
99,5.05889028,3.11928114,7.25674884,0,0.52529051,1.77917911
100,5.00135278,2.2831814,7.10450423,1,0.54811734,1.78052654
101,5.05602161,2.78102889,7.13060197,0,0.49708121,1.77245101
102,5.03429031,2.79385026,7.13540403,0,0.54084749,1.77411875
103,5.34842868,1.83479334,7.11581844,0,0.83622764,1.87923376
104,5.63407011,0.81518064,7.06549196,1,1.05763941,2.07930913
105,5.5542307,1.08050392,7.1622517,0,1.09636968,1.95662933
106,5.85181841,1.1093822,7.31366586,0,1.26933536,1.97321943
107,5.6128329,1.43388295,7.26880559,0,1.24665738,1.84706825
108,5.4464369,1.38233371,7.24459097,1,1.04557342,1.88436128
109,5.55360128,2.11942785,7.35693361,0,0.91995693,1.95715641
110,5.31582879,2.42594424,7.38458301,0,0.77706385,1.87175395
111,5.39798057,2.28987206,7.42612713,0,0.89385768,2.11855844
112,5.28438549,1.94209894,7.36423121,1,0.87516029,1.96226726
113,5.63134501,1.57708509,7.49241309,0,1.02509783,2.08718211
114,5.64168516,1.52461468,7.40886534,0,1.06703315,2.19456629
115,5.84551813,1.7919064,7.58856422,0,1.19724671,1.94648932
116,5.53965385,1.75313999,7.75669308,1,1.06055849,1.74593243
117,5.7677584,2.03395929,7.77955403,0,1.18385901,1.90293952
118,5.82260829,1.71698533,7.74128569,0,1.25027977,2.12512469
119,5.80565974,1.3708473,7.81914813,0,1.10403437,2.03468312
120,5.49600846,2.42933738,7.71660565,1,0.9551336,1.89217448
